comprehension,n. 理解；包含
proliferate,"vi. 增殖；扩散；激增
vt. 使激增"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
prophecy,n. 预言；预言书；预言能力
prophetic,adj. 预言的，预示的；先知的
Protestant,"n. 新教；新教徒
adj. 新教的；新教徒的"
proverb,n. 谚语，格言；众所周知的人或事
prudent,adj. 谨慎的；精明的；节俭的
pry,"vi. 刺探，探查
vt. 撬动，撬开
n. 窥探；杠杆"
puddle,"n. 水坑，泥潭；胶土（由粘土与水和成，不透水）
vt. 使泥泞，搅浑；把…捣制成胶土；搅炼；用胶土填塞
vi. 搅泥浆；在水坑中嬉戏"
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
pulp,"n. 纸浆；果肉；黏浆状物质
vt. 使…化成纸浆；除去…的果肉
vi. 变成纸浆；成为浆状"
puppet,n. 木偶；傀儡；受他人操纵的人
puppy,n. 小狗，幼犬
purge,"n. 净化；泻药
vt. 净化；清洗；通便
vi. 净化；通便"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
quay,n. 码头
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
quilt,"n. 被子；棉被
vt. 东拼西凑地编；加软衬料后缝制
vi. 缝被子"
raffle,"n. 废物；抽彩售货
vt. 抽彩售货
vi. 抽彩"
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
ragged,adj. 衣衫褴褛的；粗糙的；参差不齐的；锯齿状的；刺耳的；不规则的
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
ranger,n. 突击队员；漫游者；骑警；别动队员
ransom,"n. 赎金；赎身，赎回
vt. 赎回，赎；勒索赎金；救赎；得赎金后释放"
ratify,vt. 批准；认可
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
rave,"n. 咆哮；胡言乱语；热烈赞美
adj. 赞扬的
vt. 咆哮；语无伦次地说
vi. 咆哮；胡言乱语；狂骂"
razor,"n. 剃刀
vt. 剃，用剃刀刮"
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
receptive,adj. 善于接受的；能容纳的
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
rectangle,n. 矩形；长方形
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
reef,"n. 暗礁； 矿脉；收帆
vt. 收帆；缩帆
vi. 缩帆；收帆"
rehabilitate,"vt. 使康复；使恢复名誉；使恢复原状
vi. 复兴；复权；恢复正常生活"
relegate,vt. 把降低到；归入；提交
relentless,adj. 无情的；残酷的；不间断的
relics,n. 遗迹；遗骸；纪念物（relic的复数）
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
remorse,n. 懊悔；同情
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
renovate,vt. 更新；修复；革新；刷新
renown,"n. 声誉；名望
vt. 使有声望"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
repercussion,n. 反响；弹回；反射；浮动诊胎法；令人不满意的后果
reprisal,n. 报复（行为）；报复性劫掠
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
resonance,n.  共振；共鸣；反响
retaliate,"vi. 报复；回敬
vt. 报复"
retarded,adj. 智力迟钝的；发展迟缓的
revel,"n. 狂欢；闹饮；喜庆狂欢活动
vi. 狂欢；陶醉"
revoke,"n. 有牌不跟
vt. 撤回，取消；废除
vi. 有牌不跟"
rhetoric,"n. 修辞，修辞学；华丽的词藻
adj. 花言巧语的"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
rinse,"n. 冲洗；漂洗； 染发剂；染发
vt. 漱；冲洗掉；漂净
vi. 冲洗掉；漂净"
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
robe,"n. 长袍，礼服；制服
vi. 穿长袍
vt. 使穿长袍"
rouge,"n. 胭脂；口红；铁丹，红铁粉
vt. 擦口红；在…上搽胭脂
vi. 搽胭脂；涂口红
adj. 红的纹章局四属官之一"
ruby,"n. 红宝石；红宝石色
adj. 红宝石色的
vt. 使带红宝石色"
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
rugby,n. 英式橄榄球；拉格比（英格兰中部的城市）
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
runway,n. 跑道；河床；滑道
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
salon,n. 沙龙；客厅；画廊；美术展览馆
saloon,n. 酒吧；大厅；展览场；公共大厅；大会客室；轿车（英国用法）
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
sandal,n. 凉鞋；檀香；檀香木；便鞋
sane,adj. 健全的；理智的； 神志正常的
sanitation,n.  环境卫生；卫生设备；下水道设施
sarcastic,adj. 挖苦的；尖刻的，辛辣的
satire,n. 讽刺；讽刺文学，讽刺作品
savor,"n. 滋味；气味；食欲
vt. 尽情享受；使有风味；加调味品于；品尝，欣赏
vi. 有…的滋味；带有…的性质"
savour,"n. 滋味；风味
vt. 具有…的特点；加调味品于；使有风味"
scant,"adj. 不足的；缺乏的；勉强够的
vt. 减少；节省；限制"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
screech,"n. 尖叫声，尖利刺耳的声音；尖声喊叫
vt. 尖着声音讲或喊
vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声"
seduce,vt. 引诱；诱惑；诱奸；怂恿
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
serene,"n. 平静；晴朗
adj. 平静的；安详的；清澈的；晴朗的
vt. 使平静"
sermon,"n. 布道；训诫；启示；冗长的讲话
vt. 对…布道；对…说教
vi. 布道"
shack,"n. 棚屋；小室
vi. 居住"
shampoo,"n. 洗发；洗发精
vt. 洗发"
shawl,"n. 围巾，长方形披巾
vt. 用披巾包裹"
shipyard,n. 造船厂；船坞；修船厂
shit,"n. 屎；粪
vi. 拉屎
vt. 欺骗；在…拉屎
int. 狗屁；呸"
shorthand,"n. 速记；速记法
adj. 速记法的"
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
shrine,"n. 圣地；神殿；神龛；圣祠
vt. 将…置于神龛内；把…奉为神圣"
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
shun,vt. 避开，避免；回避
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
simmer,"vt. 炖
vi. 炖；内心充满；即将爆发
n. 炖；即将沸腾的状态；即将发作"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
sitting,"n. 入席，就坐；开庭；孵卵；坐着的一段时间
v. 坐；坐落（sit的ing形式）
adj. 坐着的；孵卵中的；在任期中的"
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂"
slant,"n. 倾斜；观点；偏见
vi. 倾斜；有倾向
vt. 使倾斜；使倾向于
adj. 倾斜的；有偏见的"
slay,"vt. 杀害，杀死；使禁不住大笑
vi. 杀死，杀害；残杀"
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
slipper,"n. 拖鞋
vt. 用拖鞋打"
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
slur,"n. 污点；诽谤；连音符
vi. 含糊地发音；潦草地写字；拖着脚走
vt. 忽视；草率地看过；含糊地念；诋毁"
sly,adj. 狡猾的；淘气的；诡密的
smack,"n. 滋味；少量；海洛因；风味
vt. 掴；用掌击
vi. 用掌击；带有…风味
adv. 猛然；直接地"
smear,"n. 涂片；诽谤；污点
vt. 诽谤；弄脏；涂上；把…擦模糊
vi. 被弄脏"
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
sneeze,"n. 喷嚏
vi. 打喷嚏"
snob,n. 势利小人，势利眼；假内行
snore,"n. 鼾声
vt. 打鼾
vi. 打呼噜；打着鼾声渡过"
snort,"n. 喷鼻息；一小杯酒
vt. 喷出；发哼声；吸毒品
vi. 轻蔑或愤怒地发出哼声；喷出蒸汽声"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
spaghetti,n. 意大利式细面条
spatial,adj. 空间的；存在于空间的；受空间条件限制的
spinach,n. 菠菜
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
squadron,"n. 空军中队；一群；骑兵中队；分遣队；小舰队
vt. 把…编成中队"
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
squeak,"n. 吱吱声；机会
vi. 告密；吱吱叫；侥幸成功
vt. 以短促尖声发出"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
stationery,n. 文具；信纸
stature,n. 身高，身材；（精神、道德等的）高度
statute,n.  法规；法令；条例
statutory,adj. 法定的；法令的；可依法惩处的
stepfather,n. 继父
stepmother,n. 继母，后母
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
stew,"n. 炖，炖汤；烦恼；闷热；鱼塘
vt. 炖，炖汤；焖；忧虑；受闷热
vi. 炖，炖汤；焖；受闷热；忧虑"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
stigma,n.  柱头；耻辱；污名；烙印；特征
stink,"n. 臭味；讨厌的人
vt. 使发出臭气；用臭味驱赶
vi. 发出臭味；招人讨厌"
stool,"n. 凳子；粪便；厕所
vt. 引诱，诱捕
vi. 长新枝；分檗"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
strawberry,n. 草莓；草莓色
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
strife,n. 冲突；争吵；不和
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
sub,"n. 潜水艇；地铁；替补队员
vi. 代替"
subdue,vt. 征服；抑制；减轻
sublime,"n. 崇高；顶点
adj. 庄严的；令人崇敬的；极端的；超群的
vt. 使…纯化；使…升华；使…变高尚
vi. 升华；纯化；变高尚"
subside,vi. 平息；减弱；沉淀；坐下
subsidize,vt. 资助；给与奖助金；向…行贿
sullen,adj. 愠怒的，不高兴的；（天气）阴沉的；沉闷的
sunflower,n. 向日葵
superfluous,adj. 多余的；不必要的；奢侈的
superstition,n. 迷信
supple,"adj. 柔软的；灵活的；顺从的；易弯曲的；逢迎的
vt. 使柔软；使顺从
vi. 变柔顺；变柔软"
surname,"n. 姓，姓氏；绰号，别名
vt. 给…起别名；给…姓氏"
suspense,n. 悬念；悬疑；焦虑；悬而不决
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
synonym,n. 同义词；同义字
tact,n. 机智；老练；圆滑；鉴赏力
tangible,"n. 有形资产
adj. 有形的；切实的；可触摸的"
tar,"n. 焦油；柏油；水手
vt. 涂以焦油；玷污"
tart,"n. 果馅饼；妓女
adj. 酸的；锋利的；尖刻的
vt. 打扮"
tavern,n. 酒馆；客栈
teem,"vt. 倒出
vi. 大量出现；充满"
televise,"vt. 用电视播放
vi. 电视播放"
temperate,adj. 温和的；适度的；有节制的
thatch,"n. 茅草，杂草；浓密的头发；茅草屋顶
vt. 用茅草覆盖屋顶"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
tinge,"n. 淡色；些许味道；风味
vt. 微染；使带气息"
tingle,"n. 刺痛感；激动；鸣响
vt. 刺痛；使激动
vi. 感到刺痛；（耳朵等）鸣响"
tiresome,adj. 烦人的，无聊的；令人讨厌的
toad,n. 蟾蜍；癞蛤蟆；讨厌的家伙
toil,"n. 辛苦；苦工；网；圈套
vt. 费力地做；使…过度劳累
vi. 辛苦工作；艰难地行进"
tomb,"n. 坟墓；死亡
vt. 埋葬"
topical,adj. 局部的；论题的；时事问题的；局部地区的
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
tornado,n.  龙卷风；旋风；暴风；大雷雨
torrent,n. 奔流；倾注；迸发；连续不断
tournament,n. 锦标赛，联赛；比赛
tram,"n. 电车轨道；煤车
vt. 用煤车运载
vi. 乘电车"
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
tranquil,adj. 安静的，平静的；安宁的；稳定的
transcript,n. 成绩单；抄本，副本；文字记录
transmitter,n.  发射机， 发报机；传达人
treachery,n. 背叛；变节；背叛行为
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
treason,n.  叛国罪；不忠
treasury,n. 国库，金库；财政部；宝库
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
tropic,"n. 热带；回归线
adj. 热带的"
trudge,"n. 长途跋涉；沉重的步伐
vt. 跋涉
vi. 跋涉；步履艰难地走"
trustee,"n. 受托人；托管人
vt. 移交（财产或管理权）给受托人"
tulip,n. 郁金香
turmoil,n. 混乱，骚动
turtle,n. 龟，甲鱼；海龟
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
typhoon,n.  台风
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
ultimatum,n. 最后通牒；最后结论；基本原理
uncommon,"adj. 不寻常的；罕有的
adv. 非常地"
underlie,vt. 成为……的基础；位于……之下
underwear,n. 内衣物
undress,"n. 便服；裸体
vt. 使脱衣服；使卸去装饰；暴露
vi. 脱衣服"
undue,adj. 过度的，过分的；不适当的；未到期的
unfavorable,adj. 不宜的；令人不快的；不顺利的
unknowingly,adv. 不知不觉地
unleash,"vt. 发动；解开…的皮带；解除…的束缚
vi. 不受约束；自由自在；放荡不羁"
unmade,"adj. 尚未做好的
v. 恢复原状，撤回（unmake的过去分词）"
unobtainable,adj. 难获得的；不能得到的
unparalleled,adj. 无比的；无双的；空前未有的
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
